# index logical_name bit instance cell origin
0 stato 0 _467_ sky130_fd_sc_hd__dfstp_2 RTL
1 stato 1 _468_ sky130_fd_sc_hd__dfrtp_2 RTL
2 stato 2 _469_ sky130_fd_sc_hd__dfrtp_2 RTL
3 stato 3 _470_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
4 stato 4 _471_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
5 stato 5 _472_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
6 stato 6 _473_ sky130_fd_sc_hd__dfrtp_2 GL_ONLY
7 mar 0 _474_ sky130_fd_sc_hd__dfrtp_2 RTL
8 mar 1 _475_ sky130_fd_sc_hd__dfrtp_2 RTL
9 mar 2 _476_ sky130_fd_sc_hd__dfrtp_2 RTL
10 mar 3 _477_ sky130_fd_sc_hd__dfrtp_2 RTL
11 punti_retta 0 _478_ sky130_fd_sc_hd__dfrtp_2 RTL
12 punti_retta 1 _479_ sky130_fd_sc_hd__dfrtp_2 RTL
13 punti_retta 2 _480_ sky130_fd_sc_hd__dfrtp_2 RTL
14 punti_retta 3 _481_ sky130_fd_sc_hd__dfrtp_2 RTL
15 punti_retta 4 _482_ sky130_fd_sc_hd__dfrtp_2 RTL
16 punti_retta 5 _483_ sky130_fd_sc_hd__dfrtp_2 RTL
17 punti_retta 6 _484_ sky130_fd_sc_hd__dfrtp_2 RTL
18 punti_retta 7 _485_ sky130_fd_sc_hd__dfrtp_2 RTL
19 cont 0 _486_ sky130_fd_sc_hd__dfrtp_2 RTL
20 cont 1 _487_ sky130_fd_sc_hd__dfrtp_2 RTL
21 cont 2 _488_ sky130_fd_sc_hd__dfrtp_2 RTL
22 cont 3 _489_ sky130_fd_sc_hd__dfrtp_2 RTL
23 cont 4 _490_ sky130_fd_sc_hd__dfrtp_2 RTL
24 cont 5 _491_ sky130_fd_sc_hd__dfrtp_2 RTL
25 cont 6 _492_ sky130_fd_sc_hd__dfrtp_2 RTL
26 cont 7 _493_ sky130_fd_sc_hd__dfrtp_2 RTL
27 x 0 _494_ sky130_fd_sc_hd__dfrtp_2 RTL
28 x 1 _495_ sky130_fd_sc_hd__dfrtp_2 RTL
29 x 2 _496_ sky130_fd_sc_hd__dfrtp_2 RTL
30 x 3 _497_ sky130_fd_sc_hd__dfrtp_2 RTL
31 x 4 _498_ sky130_fd_sc_hd__dfrtp_2 RTL
32 x 5 _499_ sky130_fd_sc_hd__dfrtp_2 RTL
33 x 6 _500_ sky130_fd_sc_hd__dfrtp_2 RTL
34 x 7 _501_ sky130_fd_sc_hd__dfrtp_2 RTL
35 y 0 _502_ sky130_fd_sc_hd__dfrtp_2 RTL
36 y 1 _503_ sky130_fd_sc_hd__dfrtp_2 RTL
37 y 2 _504_ sky130_fd_sc_hd__dfrtp_2 RTL
38 y 3 _505_ sky130_fd_sc_hd__dfrtp_2 RTL
39 t 1 _506_ sky130_fd_sc_hd__dfrtp_2 RTL
40 t 2 _507_ sky130_fd_sc_hd__dfrtp_2 RTL
41 t 3 _508_ sky130_fd_sc_hd__dfrtp_2 RTL
42 t 4 _509_ sky130_fd_sc_hd__dfrtp_2 RTL
43 t 5 _510_ sky130_fd_sc_hd__dfrtp_2 RTL
44 t 6 _511_ sky130_fd_sc_hd__dfrtp_2 RTL
